,X,Y,Z,cluster,cell
6728,81.48263510056307,-56.36789587253736,20.158018418079493,6,"Breast cancer cells (PanCK, GATA3)"
6733,79.26959473753465,-28.890226897137325,20.82317246632406,6,"Breast cancer cells (PanCK, GATA3)"
6734,79.95168313246876,-68.1925013866695,19.403813458828573,6,"Breast cancer cells (PanCK, GATA3)"
6740,76.18274679080884,-42.13911701922393,20.56457091249498,6,"Breast cancer cells (PanCK, GATA3)"
6742,74.31114045596718,-58.485836476237466,20.994435165888646,6,"Breast cancer cells (PanCK, GATA3)"
6759,61.65741015012844,-46.79804685621889,20.580162691375207,6,"Breast cancer cells (PanCK, GATA3)"
6765,57.38591640817032,63.4115683034488,21.65537616663547,6,"Breast cancer cells (PanCK, GATA3)"
6768,55.55124636455133,81.35683353491083,20.540700494762667,6,"Breast cancer cells (PanCK, GATA3)"
6769,55.583900923347926,4.60045855784233,21.702322215547845,6,"Breast cancer cells (PanCK, GATA3)"
6775,47.64370013766478,66.87457466434603,20.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6776,49.492334262160966,33.393159527758485,20.00842117987466,6,"Breast cancer cells (PanCK, GATA3)"
6777,47.25921737904406,23.15647121607026,20.417512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6781,44.640305461945616,-26.1931401828935,20.409740068240176,6,"Breast cancer cells (PanCK, GATA3)"
6783,43.584217379044105,-5.51852878392981,20.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6784,43.158089559495295,-38.3395814155088,21.32352712655957,6,"Breast cancer cells (PanCK, GATA3)"
6789,40.35921737904408,71.88828939788834,21.031148452601933,6,"Breast cancer cells (PanCK, GATA3)"
6790,39.767112115886164,38.34462911080709,20.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6793,39.627181450900366,15.572489180142043,20.522302508127247,6,"Breast cancer cells (PanCK, GATA3)"
6794,39.5688133386401,93.3339964685955,19.968017139470625,6,"Breast cancer cells (PanCK, GATA3)"
6795,38.57531907395935,58.717064436409146,20.459884970321497,6,"Breast cancer cells (PanCK, GATA3)"
6799,36.77588404571077,28.71480454940354,20.727035898489376,6,"Breast cancer cells (PanCK, GATA3)"
6802,34.651525071351784,-46.51852878392981,20.440589012042487,6,"Breast cancer cells (PanCK, GATA3)"
6807,30.409217379044094,20.81480454940356,21.504178755632232,6,"Breast cancer cells (PanCK, GATA3)"
6809,28.73965216165277,-12.434056734240357,19.79949966660533,6,"Breast cancer cells (PanCK, GATA3)"
6810,27.920538133761056,49.24184857456078,20.40807812670141,6,"Breast cancer cells (PanCK, GATA3)"
6815,24.729217379044087,32.341471216070204,21.697512088965567,6,"Breast cancer cells (PanCK, GATA3)"
6820,22.45853244753721,64.99927943524824,21.49285455471899,6,"Breast cancer cells (PanCK, GATA3)"
6827,16.433393203219907,-63.77567164107256,21.818610990064464,6,"Breast cancer cells (PanCK, GATA3)"
6830,14.63421737904406,91.18147121607024,20.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6831,15.170755840582558,-39.09160570700669,20.24058901204249,6,"Breast cancer cells (PanCK, GATA3)"
6832,13.919562206630303,-31.470252921860833,20.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6834,12.832518349917848,-9.38454820140555,20.97576451615003,6,"Breast cancer cells (PanCK, GATA3)"
6837,11.127735897562559,-54.28889915430017,21.3866478914347,6,"Breast cancer cells (PanCK, GATA3)"
6840,8.503954221149343,-17.708002468140307,20.917512088965566,6,"Breast cancer cells (PanCK, GATA3)"
6843,6.96242838821837,24.058535436253692,20.834943281626124,6,"Breast cancer cells (PanCK, GATA3)"
6853,4.388744938099194,95.77438460189694,20.634047522036447,6,"Breast cancer cells (PanCK, GATA3)"
6854,3.940203294536957,57.44766839916883,21.185117722768382,6,"Breast cancer cells (PanCK, GATA3)"
6855,4.478264998091674,-37.204243069644065,20.94132161277509,6,"Breast cancer cells (PanCK, GATA3)"
6857,2.454455474282156,2.212423597022621,20.369893041346515,6,"Breast cancer cells (PanCK, GATA3)"
6858,1.2792173790440984,-11.118528783929833,21.357512088965564,6,"Breast cancer cells (PanCK, GATA3)"
6863,0.058952828779467836,9.520624655223628,21.711162882616357,6,"Breast cancer cells (PanCK, GATA3)"
6868,-4.57002790397479,-39.89966085940148,20.898644164437265,6,"Breast cancer cells (PanCK, GATA3)"
6874,-6.535269312971138,-30.14666566605905,20.499261138395227,6,"Breast cancer cells (PanCK, GATA3)"
6875,-7.1234029418114915,-68.2233416181544,21.19558695527573,6,"Breast cancer cells (PanCK, GATA3)"
6880,-8.653494485362614,88.76791189403627,20.951410394050313,6,"Breast cancer cells (PanCK, GATA3)"
6892,-18.442506758886964,2.4349194919323054,21.53820174413798,6,"Breast cancer cells (PanCK, GATA3)"
